Year,Month,Variable,E.Anchorage,H.Annette_Island,A.Barrow,C.Bethel,D.Bettles,G.Cold_Bay,H.Cordova,D.Fairbanks,E.Homer,H.Juneau,C.King_Salmon,H.Kodiak,B.Kotzebue,D.McGrath,B.Nome,D.Northway,B.St_Paul_Island,E.Talkeetna,D.Tanana,H.Yakutat
1950,Jan,P,NA,19.56,13.97,26.16,NA,NA,18.29,50.8,18.03,23.88,NA,NA,10.16,45.72,47.75,24.89,48.51,40.13,25.65,40.39
1950,Feb,P,NA,236.73,10.67,5.84,NA,NA,27.18,6.35,4.06,56.39,NA,NA,7.11,1.78,12.45,1.02,17.78,0.25,2.29,84.07
1950,Mar,P,NA,184.15,1.02,13.46,NA,16,50.29,13.21,27.43,32.77,NA,NA,7.62,0.76,25.65,2.79,28.7,1.52,0,126.75
1950,Apr,P,NA,202.95,4.83,16.26,NA,13.21,118.11,0.76,69.85,53.09,NA,NA,11.68,17.02,25.15,0.76,39.62,3.81,32,218.19
1950,May,P,NA,207.01,5.84,16.76,NA,27.69,251.97,13.21,12.7,85.85,NA,NA,6.6,13.21,13.46,25.15,38.35,13.21,6.35,318.01
1950,Jun,P,NA,70.87,20.83,57.91,NA,17.53,211.07,21.84,35.56,27.43,NA,NA,28.45,110.74,49.02,14.73,22.86,73.15,19.81,106.68
1950,Jul,P,NA,258.32,14.22,57.15,NA,7.11,124.71,63.5,25.91,179.58,NA,NA,22.1,72.14,42.93,122.68,148.59,48.77,NA,202.95
1950,Aug,P,NA,258.06,31.5,64.52,NA,129.03,115.32,29.72,34.04,125.73,NA,NA,54.36,71.63,139.7,9.91,66.8,54.36,23.11,268.48
1950,Sep,P,NA,261.11,29.46,87.63,NA,119.89,432.56,7.87,66.8,185.93,NA,NA,55.12,54.1,92.2,13.72,94.49,133.86,56.64,363.47
1950,Oct,P,NA,241.55,9.14,30.23,NA,80.26,147.83,12.95,59.94,83.31,NA,NA,19.3,11.18,76.71,5.84,81.53,37.08,18.29,169.67
1950,Nov,P,NA,152.91,10.92,25.15,NA,40.39,43.69,25.15,2.03,54.1,NA,NA,24.89,12.95,64.26,7.87,62.48,17.27,14.99,110.74
1950,Dec,P,NA,284.73,5.59,9.14,NA,23.88,123.19,9.91,36.58,87.12,NA,NA,14.48,24.89,26.67,11.18,79.5,84.84,15.75,174.75
1951,Jan,P,NA,NA,NA,19.56,NA,46.74,166.37,14.48,37.85,53.09,NA,NA,6.35,22.61,3.3,3.3,45.21,57.15,9.65,120.9
1951,Feb,P,NA,181.1,2.54,86.61,NA,86.87,83.06,23.11,22.86,58.67,NA,NA,28.7,36.58,28.19,3.81,40.64,141.48,20.07,157.73
1951,Mar,P,NA,265.43,0.76,78.49,NA,71.12,98.3,5.59,9.14,95.25,NA,NA,3.56,8.13,4.32,2.54,38.35,16.51,4.83,243.59
1951,Apr,P,NA,177.04,5.59,25.91,NA,53.59,196.09,1.02,36.07,89.92,NA,NA,10.92,28.7,18.03,15.24,32.77,22.1,3.3,232.41
