Station,State,ID,Lat,Lon,Elev
Central,AK,PARL,65.57,-144.80,292
Atka,AK,PAAK,52.22,-174.20,17
Buckland,AK,PABL,65.99,-161.12,0
Portage Glacier,AK,PATO,60.79,-148.83,29
Nivalina,AK,PAVL,67.73,-164.55,3
Golovin,AK,PAGL,64.55,-163.05,8
Kaltag,AK,PAKV,64.32,-158.73,60
Egegik,AK,PAII,58.42,-157.37,119
Koyuk,AK,PAKK,64.95,-160.80,40
Chandalar Lake,AK,PALR,67.5,-148.48,585
Red Dog Mine,AK,PARD,68.03,-162.90,297
Birchwood,AK,PABV,61.42,-149.52,29
Adak NAS,AK,PADK,51.88,-176.65,4
Noatak,AK,PAWN,67.57,-162.98,30
Kodiak,AK,PADQ,57.75,-152.50,34
Anchorage,AK,PANC,61.17,-150.02,40
Annette Island,AK,PANT,55.03,-131.57,34
Barrow,AK,PABR,71.3,-156.78,4
Cold Bay,AK,PACD,55.2,-162.72,31
Dillingham,AK,PADL,59.05,-158.52,29
Fairbanks,AK,PAFA,64.82,-147.87,138
Galbraith Lake,AK,PAGB,68.48,-149.48,814
Homer,AK,PAHO,59.63,-151.50,22
Juneau,AK,PAJN,58.37,-134.58,7
McGrath,AK,PAMC,62.97,-155.62,103
Mekoryuk,AK,PAMY,60.37,-166.27,15
Kuparuk,AK,PAKU,70.32,-149.58,20
Nome,AK,PAOM,64.5,-165.43,7
Kotzebue,AK,PAOT,66.87,-162.63,5
Saint Paul Island,AK,PASN,57.15,-170.22,9
Seldovia,AK,PASO,59.44,-151.70,8
Sheep Mountain,AK,PASP,61.82,-149.38,2959
Talkeetna,AK,PATK,62.3,-150.10,109
Unalakleet,AK,PAUN,63.88,-160.80,6
Point Hope,AK,PAPO,68.35,-166.80,4
Valdez,AK,PAVD,61.13,-146.35,10
Yakutat,AK,PAYA,59.52,-139.67,9
Ambler,AK,PAFM,67.1,-157.85,88
King Salmon,AK,PAKN,58.68,-156.65,15
Cape Lisburne,AK,PALU,68.88,-166.12,4
Shemya AFB,AK,PASY,52.72,174.12,30
Aniak,AK,PANI,61.58,-159.53,26
Bettles,AK,PABT,66.92,-151.52,196
Dutch Harbor,AK,PADU,53.88,-166.53,4
Fort Yukon,AK,PFYU,66.57,-145.27,431
Middleton Island,AK,PAMD,59.43,-146.33,14
Port Heiden,AK,PAPH,56.95,-158.62,29
Deadhorse,AK,PASC,70.2,-148.47,17
Sitka,AK,PASI,57.07,-135.35,20
Cantwell,AK,PATW,63.38,-148.95,668
Arctic Village,AK,PARC,68.12,-145.58,636
Big River Lakes,AK,PALV,60.82,-152.30,12
Bethel,AK,PABE,60.78,-161.80,46
Big Delta,AK,PABI,64,-145.73,388
Barter Island,AK,PABA,70.13,-143.63,15
Eagle,AK,PAEG,64.77,-141.15,268
Metlakatla,AK,PAMM,55.08,-131.35,1
Elfin Cove,AK,PAEL,58.2,-136.35,0
Fairbanks Ft. Wainwright,AK,PAFB,64.84,-147.61,137
Gulkana,AK,PAGK,62.15,-145.45,481
Ketchikan,AK,PAKT,55.35,-131.70,29
Mckinley Park,AK,PAIN,63.73,-148.92,524
Minchumina,AK,PAMH,63.9,-152.27,214
Northway,AK,PAOR,62.97,-141.93,525
Petersburg,AK,PAPG,56.82,-132.97,0
Puntilla Lake,AK,PAPT,62.1,-152.75,560
Sand Point,AK,PASD,55.33,-160.50,7
Seward,AK,PAWD,60.12,-149.45,18
Skagway,AK,PAGY,59.47,-135.30,5
Shishmaref,AK,PASH,66.27,-166.03,2
Tanana,AK,PATA,65.17,-152.10,67
Umiat,AK,PAUM,69.37,-152.13,85
Port Alsworth,AK,PALJ,60.2,-154.30,81
Port Alexander,AK,PAAP,56.25,-134.65,1
Cape Romanzoff,AK,PACZ,61.78,-166.03,139
Cape Newenham,AK,PAEH,58.65,-162.07,165
Galena,AK,PAGA,64.73,-156.93,46
Sparrevohn,AK,PASV,61.1,-155.58,480
Deering,AK,PADE,66.07,-162.77,5
Slana,AK,PADT,62.73,-143.92,738
Cordova,AK,PACV,60.5,-145.50,13
Elmendorf AFB,AK,PAED,61.25,-149.79,59
Kenai,AK,PAEN,60.57,-151.25,29
Nenana,AK,PANN,64.55,-149.08,110
Iliamna,AK,PAIL,59.75,-154.92,49
Chignik,AK,PAJC,56.31,-158.37,20
Lake Hood,AK,PALH,61.18,-149.97,22
Hooper Bay,AK,PAHP,61.52,-166.15,5
Skwentna,AK,PASW,61.97,-151.20,45
Eureka,AK,PAZK,61.94,-147.17,1003
Healy River,AK,PAHV,63.83,-149.00,396
Hayes River,AK,PAHZ,61.98,-152.08,305
St. Marys,AK,PASM,62.06,-163.30,92
Snowshoe Lake,AK,PALK,62.03,-146.67,735
Whittier,AK,PAWR,60.78,-148.72,9
Anaktuvuk Pass,AK,PAKP,68.08,-151.44,2110
Anvik,AK,PANV,62.39,-160.11,99
Huslia,AK,PAHS,65.42,-156.23,180
Hydaburg,AK,PAHY,55.12,-132.50,0
Kake,AK,PAFE,56.97,-133.95,9
Anchorage Merrill,AK,PAMR,61.22,-149.85,42
Palmer,AK,PAAQ,61.6,-149.08,71
Sleetmute,AK,PASL,61.43,-157.09,178
Soldotna,AK,PASX,60.28,-151.02,107
St. George,AK,PAPB,56.58,-169.66,17
Togiak,AK,PATG,59.05,-160.40,4
Valdez,AK,PAVW,61.13,-146.35,10
Selawik,AK,PASK,66.3,-159.60,25
Wrangell,AK,PAWG,56.48,-132.37,13
Wasilla,AK,PAWS,61.57,-149.54,106
Chulitna,AK,PAEC,62.88,-149.83,381
Willow,AK,PAUO,61.75,-150.05,67
Haines Harbor,AK,PAHN,59.23,-135.43,10
Nabesna,AK,PABN,62.97,-141.88,119
